页面,控件,X,Y,宽,高,VP十六进制,SP,图标库,最小图标,最大图标,键值
2,icon,60,168,32,32,0x2022,0xFFFF,40,0,39,0
2,icon,92,168,32,32,0x2023,0xFFFF,40,0,39,0
2,icon,124,168,32,32,0x2024,0xFFFF,40,0,39,0
2,icon,156,168,32,32,0x2025,0xFFFF,40,0,39,0
2,icon,188,168,32,32,0x2026,0xFFFF,40,0,39,0
2,icon,220,168,32,32,0x2027,0xFFFF,40,0,39,0
2,icon,252,168,32,32,0x2028,0xFFFF,40,0,39,0
2,icon,284,168,32,32,0x2029,0xFFFF,40,0,39,0
2,icon,316,168,32,32,0x202A,0xFFFF,40,0,39,0
2,icon,348,168,32,32,0x202B,0xFFFF,40,0,39,0
2,icon,28,200,32,32,0x202C,0xFFFF,40,0,39,0
2,icon,60,200,32,32,0x202D,0xFFFF,40,0,39,0
2,icon,92,200,32,32,0x202E,0xFFFF,40,0,39,0
2,icon,124,200,32,32,0x202F,0xFFFF,40,0,39,0
2,icon,156,200,32,32,0x2030,0xFFFF,40,0,39,0
2,icon,188,200,32,32,0x2031,0xFFFF,40,0,39,0
2,icon,220,200,32,32,0x2032,0xFFFF,40,0,39,0
2,icon,252,200,32,32,0x2033,0xFFFF,40,0,39,0
2,icon,284,200,32,32,0x2034,0xFFFF,40,0,39,0
2,icon,316,200,32,32,0x2035,0xFFFF,40,0,39,0
2,icon,348,200,32,32,0x2036,0xFFFF,40,0,39,0
2,icon,28,232,32,32,0x2037,0xFFFF,40,0,39,0
2,icon,60,232,32,32,0x2038,0xFFFF,40,0,39,0
2,icon,92,232,32,32,0x2039,0xFFFF,40,0,39,0
2,icon,124,232,32,32,0x203A,0xFFFF,40,0,39,0
2,icon,156,232,32,32,0x203B,0xFFFF,40,0,39,0
2,icon,188,232,32,32,0x203C,0xFFFF,40,0,39,0
2,icon,220,232,32,32,0x203D,0xFFFF,40,0,39,0
2,icon,252,232,32,32,0x203E,0xFFFF,40,0,39,0
2,icon,284,232,32,32,0x203F,0xFFFF,40,0,39,0
2,icon,316,232,32,32,0x2040,0xFFFF,40,0,39,0
2,icon,348,232,32,32,0x2041,0xFFFF,40,0,39,0
2,icon,28,264,32,32,0x2042,0xFFFF,40,0,39,0
2,icon,60,264,32,32,0x2043,0xFFFF,40,0,39,0
2,icon,92,264,32,32,0x2044,0xFFFF,40,0,39,0
2,icon,124,264,32,32,0x2045,0xFFFF,40,0,39,0
2,icon,156,264,32,32,0x2046,0xFFFF,40,0,39,0
2,icon,188,264,32,32,0x2047,0xFFFF,40,0,39,0
2,icon,220,264,32,32,0x2048,0xFFFF,40,0,39,0
2,icon,252,264,32,32,0x2049,0xFFFF,40,0,39,0
2,icon,284,264,32,32,0x204A,0xFFFF,40,0,39,0
2,icon,316,264,32,32,0x204B,0xFFFF,40,0,39,0
2,icon,348,264,32,32,0x204C,0xFFFF,40,0,39,0
2,icon,28,296,32,32,0x204D,0xFFFF,40,0,39,0
2,icon,60,296,32,32,0x204E,0xFFFF,40,0,39,0
2,icon,92,296,32,32,0x204F,0xFFFF,40,0,39,0
2,icon,124,296,32,32,0x2050,0xFFFF,40,0,39,0
2,icon,156,296,32,32,0x2051,0xFFFF,40,0,39,0
2,icon,188,296,32,32,0x2052,0xFFFF,40,0,39,0
2,icon,220,296,32,32,0x2053,0xFFFF,40,0,39,0
2,icon,252,296,32,32,0x2054,0xFFFF,40,0,39,0
2,icon,284,296,32,32,0x2055,0xFFFF,40,0,39,0
2,icon,316,296,32,32,0x2056,0xFFFF,40,0,39,0
2,icon,348,296,32,32,0x2057,0xFFFF,40,0,39,0
2,icon,28,328,32,32,0x2058,0xFFFF,40,0,39,0
2,icon,60,328,32,32,0x2059,0xFFFF,40,0,39,0
2,icon,92,328,32,32,0x205A,0xFFFF,40,0,39,0
2,icon,124,328,32,32,0x205B,0xFFFF,40,0,39,0
2,icon,156,328,32,32,0x205C,0xFFFF,40,0,39,0
2,icon,188,328,32,32,0x205D,0xFFFF,40,0,39,0
2,icon,220,328,32,32,0x205E,0xFFFF,40,0,39,0
2,icon,252,328,32,32,0x205F,0xFFFF,40,0,39,0
2,icon,284,328,32,32,0x2060,0xFFFF,40,0,39,0
2,icon,316,328,32,32,0x2061,0xFFFF,40,0,39,0
2,icon,348,328,32,32,0x2062,0xFFFF,40,0,39,0
2,icon,28,360,32,32,0x2063,0xFFFF,40,0,39,0
2,icon,60,360,32,32,0x2064,0xFFFF,40,0,39,0
2,icon,92,360,32,32,0x2065,0xFFFF,40,0,39,0
2,icon,124,360,32,32,0x2066,0xFFFF,40,0,39,0
2,icon,156,360,32,32,0x2067,0xFFFF,40,0,39,0
2,icon,188,360,32,32,0x2068,0xFFFF,40,0,39,0
2,icon,220,360,32,32,0x2069,0xFFFF,40,0,39,0
2,icon,252,360,32,32,0x206A,0xFFFF,40,0,39,0
2,icon,284,360,32,32,0x206B,0xFFFF,40,0,39,0
2,icon,316,360,32,32,0x206C,0xFFFF,40,0,39,0
2,icon,348,360,32,32,0x206D,0xFFFF,40,0,39,0
2,icon,28,392,32,32,0x206E,0xFFFF,40,0,39,0
2,icon,60,392,32,32,0x206F,0xFFFF,40,0,39,0
2,icon,92,392,32,32,0x2070,0xFFFF,40,0,39,0
2,icon,124,392,32,32,0x2071,0xFFFF,40,0,39,0
2,icon,156,392,32,32,0x2072,0xFFFF,40,0,39,0
2,icon,188,392,32,32,0x2073,0xFFFF,40,0,39,0
2,icon,220,392,32,32,0x2074,0xFFFF,40,0,39,0
2,icon,252,392,32,32,0x2075,0xFFFF,40,0,39,0
2,icon,284,392,32,32,0x2076,0xFFFF,40,0,39,0
2,icon,316,392,32,32,0x2077,0xFFFF,40,0,39,0
2,icon,348,392,32,32,0x2078,0xFFFF,40,0,39,0
2,icon,540,82,16,24,0x1100,0xFFFF,48,0,9,0
2,icon,556,82,16,24,0x1101,0xFFFF,48,0,9,0
2,icon,572,82,16,24,0x1102,0xFFFF,48,0,9,0
2,icon,588,82,16,24,0x1103,0xFFFF,48,0,9,0
2,icon,540,117,16,24,0x1110,0xFFFF,48,0,9,0
2,icon,556,117,16,24,0x1111,0xFFFF,48,0,9,0
2,icon,572,117,16,24,0x1112,0xFFFF,48,0,9,0
2,icon,588,117,16,24,0x1113,0xFFFF,48,0,9,0
2,icon,540,152,16,24,0x1120,0xFFFF,48,0,9,0
2,icon,556,152,16,24,0x1121,0xFFFF,48,0,9,0
2,icon,572,152,16,24,0x1122,0xFFFF,48,0,9,0
2,icon,588,152,16,24,0x1123,0xFFFF,48,0,9,0
2,icon,540,187,16,24,0x1130,0xFFFF,48,0,9,0
2,icon,556,187,16,24,0x1131,0xFFFF,48,0,9,0
2,icon,572,187,16,24,0x1132,0xFFFF,48,0,9,0
2,icon,588,187,16,24,0x1133,0xFFFF,48,0,9,0
2,icon,686,80,16,24,0x1190,0xFFFF,48,0,9,0
2,icon,702,80,16,24,0x1191,0xFFFF,48,0,9,0
2,icon,693,116,16,24,0x1140,0xFFFF,48,0,9,0
2,icon,709,116,16,24,0x1141,0xFFFF,48,0,9,0
2,icon,725,116,16,24,0x1142,0xFFFF,48,0,9,0
2,icon,690,151,16,24,0x11A0,0xFFFF,48,0,9,0
2,icon,706,151,16,24,0x11A1,0xFFFF,48,0,9,0
2,icon,731,151,16,24,0x11A2,0xFFFF,48,0,9,0
2,icon,747,151,16,24,0x11A3,0xFFFF,48,0,9,0
2,icon,471,222,16,24,0x1150,0xFFFF,48,0,9,0
2,icon,487,222,16,24,0x1151,0xFFFF,48,0,9,0
2,icon,589,222,16,24,0x1152,0xFFFF,48,0,9,0
2,icon,605,222,16,24,0x1153,0xFFFF,48,0,9,0
2,icon,703,222,16,24,0x1154,0xFFFF,48,0,9,0
2,icon,719,222,16,24,0x1155,0xFFFF,48,0,9,0
2,key,413,267,170,51,0x1000,0xFFFF,0,0,0,20
2,key,603,267,170,51,0x1000,0xFFFF,0,0,0,21
2,key,499,330,61,59,0x1000,0xFFFF,0,0,0,10
2,key,432,393,61,59,0x1000,0xFFFF,0,0,0,12
2,key,499,393,61,59,0x1000,0xFFFF,0,0,0,11
2,key,566,393,61,59,0x1000,0xFFFF,0,0,0,13
2,key,651,330,122,59,0x1000,0xFFFF,0,0,0,23
2,key,651,393,122,59,0x1000,0xFFFF,0,0,0,22
2,icon,607,80,24,24,0x1340,0xFFFF,48,48,49,0
2,icon,514,344,32,32,0x1350,0xFFFF,48,50,51,0
2,icon,514,408,32,32,0x1351,0xFFFF,48,52,53,0
2,icon,447,408,32,32,0x1352,0xFFFF,48,54,55,0
2,icon,581,408,32,32,0x1353,0xFFFF,48,56,57,0
2,icon,22,438,380,32,0x1300,0xFFFF,48,20,43,0
3,icon,115,121,96,96,0x1310,0xFFFF,40,40,45,0
3,icon,76,250,180,32,0x1310,0xFFFF,48,10,15,0
3,icon,551,99,16,24,0x1200,0xFFFF,48,0,9,0
3,icon,567,99,16,24,0x1201,0xFFFF,48,0,9,0
3,icon,583,99,16,24,0x1202,0xFFFF,48,0,9,0
3,icon,599,99,16,24,0x1203,0xFFFF,48,0,9,0
3,icon,551,147,16,24,0x1210,0xFFFF,48,0,9,0
3,icon,567,147,16,24,0x1211,0xFFFF,48,0,9,0
3,icon,583,147,16,24,0x1212,0xFFFF,48,0,9,0
3,icon,599,147,16,24,0x1213,0xFFFF,48,0,9,0
3,icon,551,195,16,24,0x1220,0xFFFF,48,0,9,0
3,icon,567,195,16,24,0x1221,0xFFFF,48,0,9,0
3,icon,583,195,16,24,0x1222,0xFFFF,48,0,9,0
3,icon,599,195,16,24,0x1223,0xFFFF,48,0,9,0
3,icon,551,243,16,24,0x1230,0xFFFF,48,0,9,0
3,icon,567,243,16,24,0x1231,0xFFFF,48,0,9,0
3,icon,583,243,16,24,0x1232,0xFFFF,48,0,9,0
3,icon,599,243,16,24,0x1233,0xFFFF,48,0,9,0
3,icon,551,291,16,24,0x1240,0xFFFF,48,0,9,0
3,icon,567,291,16,24,0x1241,0xFFFF,48,0,9,0
3,icon,583,291,16,24,0x1242,0xFFFF,48,0,9,0
3,icon,599,291,16,24,0x1243,0xFFFF,48,0,9,0
3,key,42,399,169,53,0x1000,0xFFFF,0,0,0,34
3,key,231,399,169,53,0x1000,0xFFFF,0,0,0,35
3,key,599,399,167,53,0x1000,0xFFFF,0,0,0,5
4,icon,298,142,16,24,0x1130,0xFFFF,48,0,9,0
4,icon,314,142,16,24,0x1131,0xFFFF,48,0,9,0
4,icon,330,142,16,24,0x1132,0xFFFF,48,0,9,0
4,icon,346,142,16,24,0x1133,0xFFFF,48,0,9,0
4,key,59,320,173,33,0x1000,0xFFFF,0,0,0,30
4,key,313,320,173,33,0x1000,0xFFFF,0,0,0,31
4,key,567,320,173,33,0x1000,0xFFFF,0,0,0,32
4,icon,42,399,380,32,0x1300,0xFFFF,48,20,43,0
4,key,599,399,167,53,0x1000,0xFFFF,0,0,0,5
5,icon,292,106,16,24,0x1160,0xFFFF,48,0,9,0
5,icon,308,106,16,24,0x1161,0xFFFF,48,0,9,0
5,key,64,194,290,55,0x1000,0xFFFF,0,0,0,33
5,icon,147,273,16,24,0x1170,0xFFFF,48,0,9,0
5,icon,307,273,16,24,0x1171,0xFFFF,48,0,9,0
5,key,439,196,302,49,0x1000,0xFFFF,0,0,0,37
5,key,439,259,302,48,0x1000,0xFFFF,0,0,0,36
5,icon,40,362,380,32,0x1300,0xFFFF,48,20,43,0
5,key,599,399,167,53,0x1000,0xFFFF,0,0,0,5
6,key,602,409,164,47,0x1000,0xFFFF,0,0,0,5
7,icon,62,273,16,24,0x1100,0xFFFF,48,0,9,0
7,icon,78,273,16,24,0x1101,0xFFFF,48,0,9,0
7,icon,94,273,16,24,0x1102,0xFFFF,48,0,9,0
7,icon,110,273,16,24,0x1103,0xFFFF,48,0,9,0
7,icon,304,273,16,24,0x11B0,0xFFFF,48,0,9,0
7,icon,320,273,16,24,0x11B1,0xFFFF,48,0,9,0
7,icon,539,273,16,24,0x11C0,0xFFFF,48,0,9,0
7,icon,555,273,16,24,0x11C1,0xFFFF,48,0,9,0
7,icon,571,273,16,24,0x11C2,0xFFFF,48,0,9,0
7,icon,587,273,16,24,0x11C3,0xFFFF,48,0,9,0
7,key,49,390,292,62,0x1000,0xFFFF,0,0,0,4
8,key,46,262,320,58,0x1000,0xFFFF,0,0,0,24
8,key,46,338,320,58,0x1000,0xFFFF,0,0,0,23
8,key,427,338,320,58,0x1000,0xFFFF,0,0,0,4
8,icon,407,265,380,32,0x1300,0xFFFF,48,20,43,0
8,key,46,414,192,42,0x1000,0xFFFF,0,0,0,38
8,icon,62,420,160,32,0x1330,0xFFFF,48,44,47,0
9,icon,44,88,704,256,0x1320,0xFFFF,48,70,71,0
9,key,48,385,318,64,0x1000,0xFFFF,0,0,0,25
9,key,431,385,318,64,0x1000,0xFFFF,0,0,0,5
10,icon,69,130,32,40,0x1360,0xFFFF,48,72,83,0
10,icon,69,232,32,40,0x1370,0xFFFF,48,72,83,0
10,icon,116,130,32,40,0x1361,0xFFFF,48,72,83,0
10,icon,116,232,32,40,0x1371,0xFFFF,48,72,83,0
10,icon,163,130,32,40,0x1362,0xFFFF,48,72,83,0
10,icon,163,232,32,40,0x1372,0xFFFF,48,72,83,0
10,icon,210,130,32,40,0x1363,0xFFFF,48,72,83,0
10,icon,210,232,32,40,0x1373,0xFFFF,48,72,83,0
10,icon,257,130,32,40,0x1364,0xFFFF,48,72,83,0
10,icon,257,232,32,40,0x1374,0xFFFF,48,72,83,0
10,icon,304,130,32,40,0x1365,0xFFFF,48,72,83,0
10,icon,304,232,32,40,0x1375,0xFFFF,48,72,83,0
10,icon,50,302,310,48,0x1380,0xFFFF,48,84,87,0
10,key,425,96,90,50,0x1000,0xFFFF,0,0,0,41
10,key,535,96,90,50,0x1000,0xFFFF,0,0,0,42
10,key,645,96,90,50,0x1000,0xFFFF,0,0,0,43
10,key,425,157,90,50,0x1000,0xFFFF,0,0,0,44
10,key,535,157,90,50,0x1000,0xFFFF,0,0,0,45
10,key,645,157,90,50,0x1000,0xFFFF,0,0,0,46
10,key,425,218,90,50,0x1000,0xFFFF,0,0,0,47
10,key,535,218,90,50,0x1000,0xFFFF,0,0,0,48
10,key,645,218,90,50,0x1000,0xFFFF,0,0,0,49
10,key,425,279,90,50,0x1000,0xFFFF,0,0,0,50
10,key,535,279,90,50,0x1000,0xFFFF,0,0,0,40
10,key,645,279,90,50,0x1000,0xFFFF,0,0,0,51
10,key,425,347,310,50,0x1000,0xFFFF,0,0,0,52
